2025-09-15 15:36:13 - DEBUG - Bicep Curl: Smoothed Elbow=58.8°, Prev=75.6°, Direction=decreasing, Frames Since Rep=35
2025-09-15 15:36:13 - DEBUG - Bicep Curl: Smoothed Elbow=47.1°, Prev=58.8°, Direction=decreasing, Frames Since Rep=36
2025-09-15 15:36:13 - DEBUG - Bicep Curl: Smoothed Elbow=43.4°, Prev=47.1°, Direction=decreasing, Frames Since Rep=37
2025-09-15 15:36:13 - DEBUG - Bicep Curl: Smoothed Elbow=43.4°, Prev=43.4°, Direction=increasing, Frames Since Rep=38
2025-09-15 15:36:13 - INFO - Bicep Curl Rep 1: Correct, Avg Elbow Angle: 156.6°, Min: 43.4°, Max: 178.9°, Avg Shoulder Angle: 12.6°, Correct Reps: 1, Incorrect Reps: 0
2025-09-15 15:36:13 - DEBUG - Bicep Curl Feedback: Great job!
2025-09-15 15:36:15 - DEBUG - Bicep Curl: Smoothed Elbow=45.3°, Prev=43.4°, Direction=increasing, Frames Since Rep=1
2025-09-15 15:36:15 - DEBUG - Bicep Curl: Smoothed Elbow=49.2°, Prev=45.3°, Direction=increasing, Frames Since Rep=2
2025-09-15 15:36:15 - DEBUG - Bicep Curl: Smoothed Elbow=68.1°, Prev=49.2°, Direction=increasing, Frames Since Rep=3
2025-09-15 15:36:15 - DEBUG - Bicep Curl: Smoothed Elbow=92.0°, Prev=68.1°, Direction=increasing, Frames Since Rep=4
2025-09-15 15:36:15 - DEBUG - Bicep Curl: Smoothed Elbow=116.5°, Prev=92.0°, Direction=increasing, Frames Since Rep=5
2025-09-15 15:36:15 - DEBUG - Bicep Curl: Smoothed Elbow=140.9°, Prev=116.5°, Direction=increasing, Frames Since Rep=6
2025-09-15 15:36:15 - DEBUG - Bicep Curl: Smoothed Elbow=164.0°, Prev=140.9°, Direction=increasing, Frames Since Rep=7
2025-09-15 15:36:15 - DEBUG - Bicep Curl: Smoothed Elbow=172.5°, Prev=164.0°, Direction=increasing, Frames Since Rep=8
2025-09-15 15:36:15 - DEBUG - Bicep Curl: Smoothed Elbow=175.2°, Prev=172.5°, Direction=increasing, Frames Since Rep=9
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=175.9°, Prev=175.2°, Direction=increasing, Frames Since Rep=10
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=175.6°, Prev=175.9°, Direction=decreasing, Frames Since Rep=11
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=175.3°, Prev=175.6°, Direction=decreasing, Frames Since Rep=12
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=175.2°, Prev=175.3°, Direction=decreasing, Frames Since Rep=13
